
Date,Close,Volume,Open,High,Low
11/25/2019,$39.79 ,45879400,$39.50 ,$40.17 ,$39.50 
11/22/2019,$39.15 ,56931880,$39.36 ,$39.89 ,$38.19 
11/21/2019,$39.52 ,88069360,$40.42 ,$40.71 ,$38.64 
11/20/2019,$40.98 ,79968320,$40.96 ,$41.75 ,$40.07 
11/19/2019,$41.29 ,94600240,$40.14 ,$41.79 ,$39.69 
11/18/2019,$39.88 ,66332770,$38.65 ,$39.99 ,$38.60 
11/15/2019,$38.56 ,63020870,$38.94 ,$39.37 ,$38.34 
11/14/2019,$38.35 ,65936950,$37.51 ,$38.50 ,$37.36 
11/13/2019,$37.52 ,69178090,$36.65 ,$37.96 ,$36.58 
11/12/19,$36.71 ,58664520,$36.43 ,$37.13 ,$36.40 
11/11/19,$36.31 ,43572260,$35.96 ,$36.66 ,$35.58 
11/8/19,$36.29 ,39396230,$36.06 ,$36.58 ,$36 
11/7/19,$36.28 ,54350180,$36.52 ,$36.99 ,$36.03 
11/6/19,$35.93 ,51675120,$36.06 ,$36.48 ,$35.52 
11/5/19,$36.15 ,84848640,$36.56 ,$37.18 ,$35.98 
11/4/19,$36.29 ,83343780,$35.19 ,$36.45 ,$34.76 
11/1/19,$34.89 ,64238610,$34.37 ,$35 ,$34.10 
10/31/2019,$33.93 ,67881620,$32.98 ,$34.34 ,$32.82 
10/30/2019,$33.13 ,78228770,$32.93 ,$33.34 ,$32.04 
10/29/2019,$33.03 ,78700080,$33.73 ,$33.90 ,$32.70 
10/28/2019,$33.69 ,51223610,$33.16 ,$33.91 ,$33.15 
10/25/2019,$32.71 ,45368840,$31.90 ,$32.86 ,$31.83 
10/24/2019,$31.72 ,28448980,$31.58 ,$31.86 ,$31.34 
10/23/2019,$31.36 ,26858110,$31.09 ,$31.65 ,$30.83 
10/22/2019,$31.51 ,36860310,$32.06 ,$32.15 ,$31.50 
10/21/2019,$32.03 ,52648070,$31.50 ,$32.26 ,$31.41 
10/18/2019,$30.97 ,39711240,$31.06 ,$31.33 ,$30.29 
10/17/2019,$31.14 ,37010210,$31.30 ,$31.40 ,$30.86 
10/16/2019,$30.81 ,43064260,$30.60 ,$31.41 ,$30.53 
10/15/2019,$30.72 ,42142390,$30.70 ,$30.92 ,$30.17 
10/14/2019,$30.53 ,44818230,$29.71 ,$30.61 ,$29.38 
10/11/19,$29.75 ,66632450,$28.83 ,$30.20 ,$28.81 
10/10/19,$28.38 ,41172000,$28.52 ,$28.89 ,$28 
10/9/19,$28.46 ,36321580,$28.80 ,$28.95 ,$28.35 
10/8/19,$28.23 ,44432080,$28.55 ,$28.64 ,$27.92 
10/7/19,$28.93 ,39745270,$28.90 ,$29.63 ,$28.84 
10/4/19,$29.01 ,34609210,$28.83 ,$29.06 ,$28.57 
10/3/19,$28.68 ,56905410,$28.28 ,$28.78 ,$27.43 
10/2/19,$28.31 ,44048750,$28.50 ,$28.85 ,$28.03 
10/1/19,$28.76 ,37366070,$29.05 ,$29.54 ,$28.64 
09/30/2019,$28.99 ,40332050,$28.89 ,$29.05 ,$28.36 
09/27/2019,$28.72 ,54144670,$29.17 ,$29.77 ,$28.35 
09/26/2019,$29.47 ,41182230,$29.67 ,$29.77 ,$29 
09/25/2019,$29.54 ,58691580,$29.48 ,$29.65 ,$28.55 
09/24/2019,$29.52 ,73220940,$30.54 ,$30.75 ,$29.29 
09/23/2019,$30.64 ,45185840,$30.12 ,$30.80 ,$30.07 
09/20/2019,$30.05 ,83555560,$30.36 ,$30.47 ,$29.65 
09/19/2019,$30.29 ,41930830,$30.57 ,$30.96 ,$30.14 
09/18/2019,$30.42 ,47277310,$30.75 ,$30.89 ,$29.88 
09/17/2019,$30.99 ,35125750,$31.07 ,$31.32 ,$30.74 
09/16/2019,$30.83 ,52248540,$30.37 ,$31.15 ,$30.26 
09/13/2019,$30.69 ,47758750,$30.27 ,$30.85 ,$29.95 
9/12/19,$30.21 ,53618340,$30.08 ,$30.84 ,$29.95 
9/11/19,$29.76 ,50631680,$30.38 ,$30.43 ,$29.51 
9/10/19,$30.23 ,48604770,$30.22 ,$30.38 ,$29.77 
9/9/19,$30.50 ,54413160,$30.93 ,$31.18 ,$30.24 
9/6/19,$30.56 ,51672980,$31.50 ,$31.51 ,$30.48 
9/5/19,$31.50 ,57932080,$31.79 ,$32.05 ,$31.12 
9/4/19,$30.95 ,46709780,$31.32 ,$31.83 ,$30.85 
9/3/19,$30.90 ,38080250,$30.83 ,$31.14 ,$30.68 
08/30/2019,$31.45 ,40347320,$31.60 ,$31.87 ,$31.13 
08/29/2019,$31.45 ,44485480,$31.47 ,$31.83 ,$31.33 
08/28/2019,$30.78 ,55896450,$29.92 ,$31.18 ,$29.70 
08/27/2019,$30.20 ,53351710,$30.60 ,$30.89 ,$29.60 
08/26/2019,$30.28 ,50858860,$30.34 ,$30.72 ,$29.94 
08/23/2019,$29.54 ,83931680,$31.30 ,$31.83 ,$29.40 
08/22/2019,$31.90 ,47742170,$31.76 ,$31.92 ,$30.98 
08/21/2019,$31.70 ,41635050,$31.05 ,$31.74 ,$30.84 
08/20/2019,$30.72 ,48016380,$30.94 ,$31.31 ,$30.45 
08/19/2019,$31.48 ,67781610,$32 ,$32.19 ,$31.42 
08/16/2019,$31.18 ,71588980,$30.31 ,$31.48 ,$30.21 
08/15/2019,$29.67 ,72606820,$30.63 ,$30.73 ,$29.21 
08/14/2019,$30.24 ,127521500,$31 ,$31.05 ,$29.51 
08/13/2019,$32.11 ,102579300,$32.36 ,$33.14 ,$31.72 
8/12/19,$32.43 ,106936000,$34.16 ,$34.65 ,$32.08 
8/9/19,$34.19 ,132483900,$33.45 ,$35.55 ,$33.08 
8/8/19,$33.92 ,167278800,$31.53 ,$34.27 ,$31.48 
8/7/19,$29.19 ,58577540,$28.47 ,$29.28 ,$28.37 
8/6/19,$28.86 ,60578440,$28.86 ,$29.05 ,$28.20 
