
Date,AMD Close,S&P500 Close
25/11/2019,39.79,3133.64
22/11/2019,39.15,3110.29
21/11/2019,39.52,3103.54
20/11/2019,40.98,3108.46
19/11/2019,41.29,3120.18
18/11/2019,39.88,3122.03
15/11/2019,38.56,3120.46
14/11/2019,38.35,3096.63
13/11/2019,37.52,3094.04
12/11/2019,36.71,3091.84
11/11/2019,36.31,3087.01
8/11/2019,36.29,3093.08
7/11/2019,36.28,3085.18
6/11/2019,35.93,3076.78
5/11/2019,36.15,3074.62
4/11/2019,36.29,3078.27
1/11/2019,34.89,3066.91
31/10/2019,33.93,3037.56
30/10/2019,33.13,3046.77
29/10/2019,33.03,3036.89
28/10/2019,33.69,3039.42
25/10/2019,32.71,3022.55
24/10/2019,31.72,3010.29
23/10/2019,31.36,3004.52
22/10/2019,31.51,2995.99
21/10/2019,32.03,3006.72
18/10/2019,30.97,2986.2
17/10/2019,31.14,2997.95
16/10/2019,30.81,2989.69
15/10/2019,30.72,2995.68
14/10/2019,30.53,2966.15
11/10/2019,29.75,2970.27
10/10/2019,28.38,2938.13
9/10/2019,28.46,2919.4
8/10/2019,28.23,2893.06
7/10/2019,28.93,2938.79
4/10/2019,29.01,2952.01
3/10/2019,28.68,2910.63
2/10/2019,28.31,2887.61
1/10/2019,28.76,2940.25
30/9/2019,28.99,2976.74
27/9/2019,28.72,2961.79
26/9/2019,29.47,2977.62
25/9/2019,29.54,2984.87
24/9/2019,29.52,2966.6
23/9/2019,30.64,2991.78
20/9/2019,30.05,2992.07
19/9/2019,30.29,3006.79
18/9/2019,30.42,3006.73
17/9/2019,30.99,3005.7
16/9/2019,30.83,2997.96
13/9/2019,30.69,3007.39
12/9/2019,30.21,3009.57
11/9/2019,29.76,3000.93
10/9/2019,30.23,2979.39
9/9/2019,30.5,2978.43
6/9/2019,30.56,2978.71
5/9/2019,31.5,2976.0
4/9/2019,30.95,2937.78
3/9/2019,30.9,2906.27
30/8/2019,31.45,2926.46
29/8/2019,31.45,2924.58
28/8/2019,30.78,2887.94
27/8/2019,30.2,2869.16
26/8/2019,30.28,2878.38
23/8/2019,29.54,2847.11
22/8/2019,31.9,2922.95
21/8/2019,31.7,2924.43
20/8/2019,30.72,2900.51
19/8/2019,31.48,2923.65
16/8/2019,31.18,2888.68
15/8/2019,29.67,2847.6
14/8/2019,30.24,2840.6
13/8/2019,32.11,2926.32
12/8/2019,32.43,2882.7
9/8/2019,34.19,2918.65
8/8/2019,33.92,2938.09
7/8/2019,29.19,2883.98
6/8/2019,28.86,2881.77
5/8/2019,27.99,2844.74
2/8/2019,29.44,2932.05
1/8/2019,29.86,2953.56
31/7/2019,30.45,2980.38
30/7/2019,33.87,3013.18
29/7/2019,33.48,3020.97
26/7/2019,34.02,3025.86
25/7/2019,33.67,3003.67
24/7/2019,34.11,3019.56
23/7/2019,33.49,3005.47
22/7/2019,32.85,2985.03
19/7/2019,32.51,2976.61
18/7/2019,33.0,2995.11
17/7/2019,33.6,2984.42
16/7/2019,33.85,3004.04
15/7/2019,34.39,3014.3
12/7/2019,33.21,3013.77
11/7/2019,33.06,2999.91
10/7/2019,33.79,2993.07
9/7/2019,33.15,2979.63
8/7/2019,32.04,2975.95
5/7/2019,31.5,2990.41
3/7/2019,31.19,2995.82
2/7/2019,31.24,2973.01
1/7/2019,31.2,2964.33
28/6/2019,30.37,2941.76
27/6/2019,30.74,2924.92
26/6/2019,29.92,2913.78
25/6/2019,28.86,2917.38
24/6/2019,29.26,2945.35
21/6/2019,29.1,2950.46
20/6/2019,30.01,2954.18
19/6/2019,30.5,2926.46
18/6/2019,30.45,2917.75
17/6/2019,29.2,2889.67
14/6/2019,30.36,2886.98
13/6/2019,31.39,2891.64
12/6/2019,32.18,2879.84
11/6/2019,32.41,2885.72
10/6/2019,33.23,2886.73
7/6/2019,32.41,2873.34
6/6/2019,31.82,2843.49
5/6/2019,29.5,2826.15
4/6/2019,29.57,2803.27
3/6/2019,27.58,2744.45
31/5/2019,27.41,2752.06
30/5/2019,28.03,2788.86
29/5/2019,28.09,2783.02
28/5/2019,29.03,2802.39
24/5/2019,26.44,2826.06
23/5/2019,26.36,2822.24
22/5/2019,27.41,2856.27
21/5/2019,27.35,2864.36
20/5/2019,26.68,2840.23
17/5/2019,27.5,2859.53
16/5/2019,28.01,2876.32
15/5/2019,27.58,2850.96
14/5/2019,27.32,2834.41
13/5/2019,26.24,2811.87
10/5/2019,27.96,2881.4
9/5/2019,27.21,2870.72
8/5/2019,27.09,2879.42
7/5/2019,26.66,2884.05
6/5/2019,27.42,2932.47
3/5/2019,28.22,2945.64
2/5/2019,28.29,2917.52
1/5/2019,26.81,2923.73
30/4/2019,27.63,2945.83
29/4/2019,27.69,2943.03
26/4/2019,27.88,2939.88
25/4/2019,27.66,2926.17
24/4/2019,28.46,2927.25
23/4/2019,27.97,2933.68
22/4/2019,28.18,2907.97
18/4/2019,27.68,2905.03
17/4/2019,27.49,2900.45
16/4/2019,27.93,2907.06
15/4/2019,27.33,2905.58
12/4/2019,27.85,2907.41
11/4/2019,27.79,2888.32
10/4/2019,27.83,2888.21
9/4/2019,27.24,2878.2
8/4/2019,28.53,2895.77
5/4/2019,28.98,2892.74
4/4/2019,29.09,2879.39
3/4/2019,29.02,2873.4
2/4/2019,26.75,2867.24
1/4/2019,26.36,2867.19
29/3/2019,25.52,2834.4
28/3/2019,25.06,2815.44
27/3/2019,24.89,2805.37
26/3/2019,25.69,2818.46
25/3/2019,25.97,2798.36
22/3/2019,26.37,2800.71
21/3/2019,27.89,2854.88
20/3/2019,25.7,2824.23
19/3/2019,26.0,2832.57
18/3/2019,23.25,2832.94
15/3/2019,23.29,2822.48
14/3/2019,22.82,2808.48
13/3/2019,23.38,2810.92
12/3/2019,23.49,2791.52
11/3/2019,22.96,2783.3
8/3/2019,22.01,2743.07
7/3/2019,22.08,2748.93
6/3/2019,22.41,2771.45
5/3/2019,23.5,2789.65
4/3/2019,23.37,2792.81
1/3/2019,23.68,2803.69
28/2/2019,23.53,2784.49
27/2/2019,23.48,2792.38
26/2/2019,24.21,2793.9
25/2/2019,24.71,2796.11
22/2/2019,24.36,2792.67
21/2/2019,23.92,2774.88
20/2/2019,23.95,2784.7
19/2/2019,23.95,2779.76
15/2/2019,23.68,2775.6
14/2/2019,23.13,2745.73
13/2/2019,22.85,2753.03
12/2/2019,22.82,2744.73
11/2/2019,22.96,2709.8
8/2/2019,23.05,2707.88
7/2/2019,22.67,2706.05
6/2/2019,23.26,2731.61
5/2/2019,23.31,2737.7
4/2/2019,24.13,2724.87
1/2/2019,24.51,2706.53
31/1/2019,24.41,2704.1
30/1/2019,23.09,2681.05
29/1/2019,19.25,2640.0
28/1/2019,20.18,2643.85
25/1/2019,21.93,2664.76
24/1/2019,20.85,2642.33
23/1/2019,19.8,2638.7
22/1/2019,19.76,2632.9
18/1/2019,20.77,2670.71
17/1/2019,20.25,2635.96
16/1/2019,19.73,2616.1
15/1/2019,20.38,2610.3
14/1/2019,20.23,2582.61
11/1/2019,20.27,2596.26
10/1/2019,19.74,2596.64
9/1/2019,20.19,2584.96
8/1/2019,20.75,2574.41
7/1/2019,20.57,2549.69
4/1/2019,19.0,2531.94
3/1/2019,17.05,2447.89
2/1/2019,18.83,2510.03
31/12/2018,18.46,2506.85
28/12/2018,17.82,2485.74
27/12/2018,17.49,2488.83
26/12/2018,17.9,2467.7
24/12/2018,16.65,2351.1
21/12/2018,16.93,2416.62
20/12/2018,17.94,2467.42
19/12/2018,18.16,2506.96
18/12/2018,19.5,2546.16
17/12/2018,18.83,2545.94
14/12/2018,19.9,2599.95
13/12/2018,19.86,2650.54
12/12/2018,20.48,2651.07
11/12/2018,19.98,2636.78
10/12/2018,19.99,2637.72
7/12/2018,19.46,2633.08
6/12/2018,21.3,2695.95
4/12/2018,21.12,2700.06
3/12/2018,23.71,2790.37
30/11/2018,21.3,2760.17
29/11/2018,21.43,2737.8
28/11/2018,21.34,2743.79
27/11/2018,21.05,2682.17
